R28045	P15259	R27853
R59565	P33047	L143025
R64792	P33147	L203260
R27972	METHOD	R27864
R31229	P15414	L62632
R33987	P31	R34034
R6126	P5004	R6123
R69015	P32	R69026
R57209	P27	L122260
R25629	compareContribution	R25620
R57925	P31023	L127974
R63840	P33150	L191839
R64988	P33145	L205589
R61273	P2005	R60165
R54401	P31023	L103752
R69499	HAS_RESULTS	R50438
R65912	P33143	L216675
R32974	P27	L68947
R38567	HAS_APPROACH	R38582
R66573	P2005	R63783
R26515	P15023	L52685
R32608	P31	R32609
R61312	P33133	L161822
R60860	P33132	L156397
R23376	P7120	L45392
R66985	P33151	L229559
R64565	P33152	L200541
R32174	P15503	R32071
R27316	P30	R11
R53242	P27030	L98007
R60236	P33137	L148914
R62027	P33134	L170403
R66314	P33141	L221497
R27916	P27	L56222
R46331	P25030	R46332
R64202	P33150	L196183
R62348	P33132	L174253
R6397	P5021	R6200
R69031	P26	L239185
R28576	P27	L57759
R59745	P33059	L144616
R25924	P15093	L50282
R63959	P33145	L193262
R60879	P33133	L156626
R63904	P2005	R63783
R60126	P33124	L147779
R59489	P33046	L142264
R29119	P27	L59062
R61725	P2005	R60165
R64897	P33142	L204494
R60203	P2005	R60165
R4741	P4018	R4751
R70040	P18068	R38286
R56163	P31005	L112929
R61224	P33140	L160773
R66994	P33141	L229657
R64339	P33146	L197823
R30333	P15343	R29517
R62877	P33135	L180604
R27374	P31	R27375
R56674	P27	L117308
R65338	P33152	L209796
R55123	P31023	L110047
R52354	P29	L96571
R64044	P33146	L194283
R59462	P2005	R58159
R65826	P33148	L215648
R67521	P33141	L235981
R34400	P31	R34401
R65031	P33152	L206112
R25506	P15054	L47898
R61939	P2005	R60165
R6909	P2005	R6910
R44973	P23170	L84377
R26002	P15105	L50735
R65951	P33147	L217147
R59556	P33046	L142934
R59975	P33091	L146572
R63214	P33135	L184648
R26085	P15122	L51420
R65679	P33148	L213884
R65408	P33146	L210630
R68556	HAS_ORCID	L238645
R53390	P26	L98981
R57295	P31023	L123079
R63525	P33137	L188382
R58811	P33046	L135484
R8853	P4015	R8966
R6179	P5001	R6005
R9524	P26	L9184
R32095	P15501	R32070
R27122	P32	R27070
R57048	P30	R50
R66604	P33150	L224986
R66666	P33144	L225724
R57176	P31023	L121957
R6927	P5110	L5642
R38152	P27	R10003
R38392	P18053	L76332
R25154	P31	R25155
R44087	P27	L82051
R54207	P31023	L101907
R59502	P33049	L142397
R57789	HAS_VENUE	R1012
R60129	P33126	L147826
R60680	P33129	L154234
R66979	P33152	L229488
R67518	P2005	R63783
R64547	P33141	L200314
R31279	P27	L62714
R59815	P33070	L145156
R59331	P2005	R58159
R67432	P33144	L234916
R34629	P31	R34630
R34316	compareContribution	R34289
R62887	P33135	L180724
R65065	P33152	L206520
R62391	P33136	L174773
R41371	P20079	R41373
R62129	P33129	L171622
R65766	P33146	L214926
R54730	P31023	L106977
R66967	P33141	L229333
R63315	P33138	L185863
R63414	P33140	L187053
R32910	P15538	L68345
R54529	HAS_VENUE	R1012
R58316	P33049	L130537
R59287	P33049	L140247
R60805	P33139	L155744
R67458	P33145	L235229
R64032	P33150	L194143
R60327	P2005	R60165
R9512	P26	L9136
R62356	P33132	L174349
R57907	P31	R57910
R60477	P33139	L151808
R61267	P33132	L161281
R30803	P32	R30740
R60355	P33135	L150340
R56413	P31023	L114995
R49378	P7037	R49475
R64720	P33148	L202397
R64710	P33149	L202278
R34183	compareContribution	R34176
R57277	P30	R50
R31493	P30	R11
R64788	P33144	L203209
R25834	P31	R25835
R57013	P31024	L120439
R6042	P31	R6043
R62657	P33139	L177968
R59019	P2005	R58159
R64966	P33152	L205332
R66632	P33150	L225322
R25526	P15058	L48031
R28793	P27	L58233
R25227	P27	L46682
R61276	P33131	L161388
R63727	P2005	R60165
R64899	P33149	L204525
R64903	P2005	R63783
R67303	P33148	L233372
R53182	P15068	L97440
R67517	P33147	L235939
R61695	P33134	L166419
R9303	P7167	R9310
R30595	P15372	L61155
R60223	P33132	L148753
R60794	P33129	L155602
R64492	P33152	L199665
R67550	P33151	L236339
R60393	P33132	L150793
R63047	P33133	L182642
R63453	P33134	L187515
R60605	P33133	L153338
R64671	P2005	R63783
R61010	P33137	L158202
R45001	P24003	L85039
R38469	HAS_ORCID	L76458
R63875	P33142	L192251
R57739	P30001	L125907
R25166	P31	R25167
R62333	P33140	L174081
R25752	P29	L49030
R35078	TemplateComponent	R44007
R23289	P26032	L45016
R60225	P33140	L148785
R25639	P27	L48440
R65802	P33148	L215360
R61681	P33129	L166246
R57647	P33037	L124889
R58124	P26	L129100
R53271	P29	L98237
R56362	P33010	L114584
R30157	P15344	R29820
R28992	P27	L58664
R68282	P31	R68379
R65561	P33148	L212468
R8536	P29	L8608
R59866	P33086	L145415
R67297	P2005	R63783
R32958	P32	R32942
R62297	P33134	L173643
R53179	P15068	L97403
R31997	P15491	L65176
R67405	P33146	L234594
R51363	TemplateComponentOccurrenceMin	L94527
R62610	P33140	L177405
R28186	P15267	R28152
R59662	P33050	L143998
R55194	HAS_RESULTS	R55205
R30945	P15387	R30825
R54129	P32	R54013
R28209	P27	L56835
R54735	P30004	L107033
R32874	P15072	L67744
R66508	P33149	L223833
R62724	P33132	L178765
R57703	P9040	L125516
R34335	P27	L72158
R60511	P33139	L152216
R60362	P33134	L150423
R28318	P15051	R28147
R56825	P28	L118689
R61308	P33133	L161774
R33783	compareContribution	R33772
R54304	HAS_VENUE	R1012
R41096	P25066	R46727
R59230	P33049	L139677
R59383	P33047	L141205
R44930	compareContribution	R44857
R64737	P33148	L202601
R27720	P15254	L55934
R69585	P34086	R69537
R55014	P31024	L109043
R62332	P33136	L174065
R65758	P33151	L214835
R61675	P33139	L166184
R26828	P30	R11
R53396	P31005	L99026
R61967	P33132	L169681
R67152	P33143	L231555
R63295	P33130	L185615
R66646	P33151	L225491
R60830	P33139	L156044
R28135	P27	L56693
R63451	P33133	L187490
R57174	P30002	L121937
R27595	P27	L55535
R64121	P33149	L195210
R64241	P33142	L196643
R60228	P33134	L148815
R57955	HAS_VENUE	R1012
R54919	HAS_EVALUATION	R54944
R66628	P33146	L225270
R36128	P26	L74502
R62804	P33133	L179726
R41255	P32	R41280
R8337	P7041	R8334
R27015	P29	L53787
R41016	P31	R41020
R61087	P33136	L159125
R63732	P33140	L190869
R33008	url	L69061
R53276	P30	R50
R66105	P33147	L218995
R64599	P33150	L200947
R32211	P15509	L65790
R64156	P33144	L195625
R63814	P33151	L191528
R25816	P27	L49508
R65774	P33145	L215021
R54301	P29012	L102785
R49370	P19001	L90568
R44966	P30	R343
R63676	P33130	L190187
R6076	P28	L4068
R62595	P33140	L177225
R10013	HAS_ORCID	L10031
R34448	P30	R11
R44018	HAS_VALUE	L82016
R53245	P29	L98038
R61248	P33140	L161061
R31174	compareContribution	R31169
R25553	P27	L48164
R58674	P33049	L134117
R54606	P30004	L105733
R64687	P33146	L201999
R38011	reference	L76014
R27723	compareContribution	R27720
R31270	P33	R31258
R46410	P5018	R46417
R60826	P33130	L155987
R62846	P33129	L180226
R67374	P33145	L234221
R57025	P30004	L120559
R62269	P33139	L173312
R48108	P31	R48112
R39083	P18096	R39092
R45099	P24015	L85095
R27614	P26	L239946
R26051	P27	L51189
R28786	P15290	L58218
R23499	P27	L45858
R56825	HAS_VENUE	R1012
R28842	P27	L58323
R62602	P33129	L177298
R58745	P33043	L134821
R59972	P33090	L146535
R60993	P33135	L157996
R25814	P27	L49488
R57083	P31	R57086
R70345	P7004	R70304
R62051	P33136	L170693
R63024	P33131	L182364
R64308	P33149	L197454
R60311	P33136	L149813
R28155	P27	L56742
R66345	P2005	R63783
R66148	P33148	L219512
R59650	P33048	L143876
R8573	P28	L8627
R61442	P33140	L163389
R68339	P32	R68532
R26804	METHOD	R12062
R58283	P33044	L130202
R57101	compareContribution	R56985
R63631	P33134	L189651
R60759	P33134	L155187
R61193	P2005	R60165
R26947	P11	R26807
R65084	P33141	L206737
R66738	P33144	L226588
R58407	P33047	L131445
R66955	P33145	L229193
R64841	P33144	L203824
R25865	P27	L49878
R66857	P2005	R63783
R60871	P33140	L156537
R65645	P33149	L213477
R31748	P15457	L64071
R44968	P27	L84338
R60927	P33140	L157209
R60737	P33133	L154922
R61779	P33136	L167429
R65470	P33144	L211372
R62175	P33137	L172182
R28132	P26	L56674
R64589	P33145	L200822
R62380	P33132	L174637
R62066	P33133	L170870
R57696	P30004	L125456
R63582	P33133	L189062
R25898	P27	L50110
R58469	P33049	L132067
R32918	P31	R32919
R61174	P33135	L160168
R62412	P33136	L175025
R66927	P33144	L228856
R31952	P30	R11
R62401	P33136	L174893
R64286	P33149	L197190
R61039	P33137	L158550
R54835	P29012	L107999
R66499	P33142	L223718
R61658	P33137	L165978
R68975	P29	L239165
R49056	P30	R169
R64792	P33144	L203257
R68466	P34017	R68334
R6136	P5004	R6086
R32705	P15524	R32545
R62244	P33136	L173009
R69715	P27	L240970
R63507	P33136	L188165
R6267	P5021	R6196
R63635	P33130	L189695
R65575	P33143	L212631
R60789	P33132	L155545
R56703	P30004	L117577
R29712	P15344	R29697
R66884	P33152	L228348
R33869	P29	L70969
R30737	P31	R30738
R66531	P33143	L224103
R65797	P33152	L215304
R26644	P15161	L52877
R56228	P33011	L113481
R33718	P15604	L70465
R56754	P30	R50
R31573	P31	R31574
R54630	P29	L105970
R68341	P32	R68531
R51267	P27	R51301
R32330	P27	L65910
R26086	P15126	L51428
R50522	HAS_VENUE	R50346
R56978	P33013	L120066
R51442	P27	L94637
R50061	contains	R50056
R56737	P31023	L117881
R56671	P33011	L117279
R25300	P28	L47109
R64105	P33141	L195010
R48195	P7113	R48176
R64095	P33148	L194897
R39020	P31	R39035
R65415	P33152	L210720
R64697	P33149	L202122
R31669	compareContribution	R31349
R63015	P2005	R60165
R8480	P27	L8570
R61598	P33132	L165253
R63964	P33142	L193319
R25728	P29	L48903
R28610	P15285	L58081
R46738	P25070	R46872
R63229	P33131	L184824
R6691	P2006	R6554
R52082	P15068	L95659
R62809	P33139	L179792
R61091	P33133	L159170
R66606	P33145	L225005
R48195	P18067	R48186
R55136	P27	L110167
R65302	P33142	L209354
R32621	P27	L66629
R1020	P28	R1029
R59297	P2005	R58159
R62885	P33138	L180703
R66212	P33148	L220280
R29443	P28	L59747
R6715	P27	L5174
R39022	METHOD	R39077
R56135	P33010	L112695
R45100	P28	L85104
R8337	P7043	L8336
R52351	HAS_RESULTS	R51055
R56462	P27	L115395
R64334	P33150	L197767
R34674	P27	L73286
R63216	P33130	L184667
R63516	P33137	L188274
R25339	P15041	R25337
R59347	P33049	L140847
R29105	P4012	R29020
R65688	P33143	L213987
R33032	P15590	L69204
R29502	P29	L59771
R60379	P33131	L150624
R26087	P27	L51430
R62949	P33138	L181471
R36092	P16015	L74325
R56827	P29	L118708
R43034	P22047	L81603
R63473	P33133	L187754
R64636	P33148	L201389
R62174	P33134	L172167
R54795	P26	L107600
R43000	P31	R43002
R63613	P33137	L189438
R64068	P33149	L194574
R49467	P18051	L90711
R62591	P33132	L177169
R60203	P33132	L148513
R57261	P30	R50
R8537	P32	R8549
R28585	P30	R11
R281	P36	R332
R66291	P33151	L221231
R59912	P33085	L146104
R62368	P33134	L174495
R57154	P30001	L121741
R65288	P2005	R63783
R60297	P33138	L149647
R62285	P33137	L173502
R64820	P33141	L203569
R32863	P29	L67677
R58211	P33048	L129486
R9084	P7113	R8590
R56738	P27	L117891
R55301	P25059	L110875
R31919	P32	R31811
R33585	P29	L69887
R56356	P33008	L114525
R7006	P6003	R7007
R58951	P33045	L136883
R38219	P18036	R38220
R60314	P33140	L149853
R64477	P33148	L199481
R32927	P32	R32915
R66208	P2005	R63783
R60287	P33134	L149523
R62720	P33130	L178715
R61540	P33140	L164565
R64524	P33143	L200040
R28588	reference	L57867
R27249	P15198	R27248
R25912	P28	L50204
R57838	P33036	L126987
R56798	P30002	L118440
R66834	P33148	L227744
R70559	P15393	L242500
R56523	P15068	L115891
R33064	P27	L69388
R46520	P27	L87281
R64931	P33141	L204901
R66746	P33143	L226683
R34499	P15664	R28639
R65823	P33144	L215608
R56964	P30004	L119933
R67181	P33146	L231906
R56451	P30002	L115305
R60434	P33135	L151288
R44716	P27	L83603
R66612	P33148	L225080
R60658	P33135	L153976
R61617	P33130	L165479
R62928	P33133	L181214
R59734	P2005	R59701
R57908	P9040	L127774
R28584	P15289	L57834
R57141	P27	L121619
R62946	P33130	L181427
R65763	P33151	L214895
R28987	P15315	L58636
R59893	P33075	L145809
R41135	P20023	L79286
R31562	P27	L63128
R63315	P33131	L185856
R31722	P15435	L63859
R48321	P26007	L89523
R63928	P33151	L192896
R61250	P33131	L161076
R59976	P33092	L146585
R66052	P33146	L218358
R59909	P33085	L146059
R61515	P33134	L164259
R57911	P15068	L127824
R5171	P4016	R5177
R31843	P31	R31847
R4671	P4018	L3396
R28557	P15286	L57586
R51233	P29005	L94371
R54646	P32117	L106129
R6101	P5004	R6015
R6525	P5033	R6492
R59454	P33048	L141916
R26185	P15072	L51856
R26797	P27	L53288
R54489	P31023	L104593
R63342	P33133	L186182
R34417	P27	L72441
R59734	P33055	L144480
R12207	P28	L12094
R66489	P33148	L223604
R61162	P33139	L160028
R59595	P33050	L143328
R28517	P27	L57367
R54291	P30002	L102697
R65799	P33144	L215320
R27359	P27	L54668
R64771	P33151	L203012
R60760	P2005	R60165
R59795	P33069	L144915
R70619	P15393	L242873
R66848	P33151	L227915
R62913	P33140	L181041
R30717	P27	L61551
R33994	P27	L71191
R25301	P15043	L47114
R31115	P15397	L62315
R68802	HAS_RESULTS	R68288
R67577	P33148	L236660
R60421	P33129	L151126
R66403	P33141	L222565
R67082	P2005	R63783
R32448	P27	L66065
R9303	P5064	L9009
R62334	P33134	L174087
R63097	P2005	R60165
R46217	HAS_VENUE	R1012
R54790	P27030	L107555
R34057	P28	L71295
R66381	P2005	R63783
R66415	P33149	L222717
R54732	P32119	L106993
R65383	P33143	L210327
R60705	P33139	L154544
R59516	P33041	L142529
R46230	P25019	L86814
R25136	P32	R25117
R68538	compareContribution	R68453
R62781	P2005	R60165
R66690	P33144	L226012
R53267	P31023	L98213
R41564	P16033	L79648
R25653	P27	L48501
R65970	P33145	L217373
R63338	P33131	L186132
R31722	P15446	L63860
R67183	P33148	L231932
R43034	P22023	L81578
R56857	P28	L118979
R61871	P33139	L168536
R57753	P28	L126079
R44835	P15700	L83940
R9552	P32	R9530
R52110	P30004	L95890
R34134	P30	R11
R30442	P32	R29367
R70656	P7004	R70304
R57909	P31005	L127797
R60799	P33138	L155671
R56695	P30001	L117501
R28028	P15259	R27866
R66454	P33149	L223185
R31	P36	R33
R55123	P31024	L110051
R38922	P27	L76699
R59792	P33070	L144880
R62537	P33136	L176525
R56970	P29	L119993
R67313	P33150	L233494
R58990	P33050	L137278
R61553	P33134	L164715
R61169	P33137	L160110
R60573	P33137	L152958
R60049	P33113	L147170
R54780	P31023	L107456
R33026	P27	L69178
R65414	P33147	L210703
R64508	P33147	L199852
R39074	P5049	R39073
R57813	P33039	L126713
R60692	P33140	L154389
R33816	P15419	L70855
R59254	P33041	L139909
R67472	P33146	L235398
R44430	P32	R44421
R31928	compareContribution	R31905
R62700	P33139	L178484
R61140	P33139	L159764
R57765	P27	L126196
R27550	P32	R27485
R55169	HAS_METHOD	R55185
R61241	P33131	L160968
R60044	P33111	L147108
R8635	P7108	R8620
R65496	P2005	R63783
R65667	P33141	L213733
R46563	P29	L87493
R44088	P23013	L82073
R64688	P33143	L202008
R68535	compareContribution	R68059
R26985	P11	R26777
R57229	HAS_VENUE	R1012
R64347	P33148	L197921
R64044	P33152	L194289
R57685	P28	L125320
R23312	P27	L45087
R60299	P33138	L149671
R69662	P34079	L240839
R60878	P33132	L156613
R30637	P32	R30583
R64109	P33150	L195067
R30260	P30	R11
R64512	P33143	L199896
R49426	P7037	R44657
R39116	P15370	R39138
R68114	P7004	L238302
R6531	P27	L4934
R66244	P33150	L220666
R61262	P33133	L161222
R44556	TemplateComponentOrder	L83222
R59378	P33046	L141154
R28652	P28	L58158
R59588	P33048	L143256
R60811	P33129	L155806
R65075	P33148	L206636
R64280	P33141	L197110
R66297	P33145	L221297
R60226	P33131	L148788
R69864	HAS_VENUE	R69865
R64193	P33146	L196071
R45098	P27	L85088
R68058	HAS_EVALUATION	L238161
R60353	P33133	L150314
R49402	HAS_VALUE	L90610
R46566	P25061	L87505
R69267	TemplateComponentOccurrenceMax	L239539
R64919	P33145	L204761
R55133	P29012	L110137
R62892	P33139	L180788
R31970	P15471	L64987
R60712	P2005	R60165
R62522	P2005	R60165
R62866	P33136	L180473
R54460	P30002	L104314
R41252	P27	L79502
R64219	P33144	L196381
R31753	P30	R11
R38321	P27	L76272
R6019	P5006	L4010
R25661	P28	L48557
R67043	P33147	L230251
R32249	P15510	R32247
R58681	P33049	L134187
R58106	P27	L129051
R26990	P26	L53722
R64884	P33152	L204348
R58858	P33042	L135950
R56849	HAS_VENUE	R1012
R67042	P33147	L230239
R59053	P33044	L137902
R56533	HAS_VENUE	R1012
R60950	P2005	R60165
R66014	P33145	L217901
R65725	P33144	L214432
R59477	P33041	L142139
R60932	P33131	L157260
R32007	P15483	L65247
R4884	P27	R57538
R57362	P31023	L123698
R54715	P30	R50
R60556	P33134	L152751
R61448	P33129	L163450
R29127	P15329	R29110
R63694	P2005	R60165
R34138	P30	R11
R32912	P15544	L68368
R58326	P33046	L130634
R30476	reference	L60609
R54298	P30	R50
R59683	P33048	L144206
R66133	P33141	L219325
R49394	P19001	L90600
R56110	compareContribution	R56103
R70630	compareContribution	R70609
R41360	P20073	R41361
R60422	P33129	L151138
R29157	P15328	R29155
R61381	P33139	L162656
R29229	P27	L59385
R59804	P33066	L145020
R69947	P18057	R51226
R67073	P33142	L230606
R26175	P28	L51844
R23326	P29	L45175
R66006	P2005	R63783
R60978	P33135	L157816
R60816	P33136	L155873
R62509	P33131	L176184
R29724	P15342	R29409
R27434	P32	R27404
R64124	P33149	L195246
R32891	P29	L68022
R56137	P33008	L112700
R6116	P27	L4136
R61396	P33131	L162828
R61337	P33135	L162124
R65535	P2005	R63783
R57161	P30004	L121811
R63202	P33136	L184505
R54046	P31	R54047
R59682	P33045	L144193
R57196	P32	R57102
R62876	P2005	R60165
R33018	P32	R32961
R30333	P15343	R29714
R59740	P33053	L144550
R56457	P15068	L115358
R65190	P33149	L208017
R65538	P33145	L212189
R61132	P33135	L159664
R62273	P33134	L173355
R64280	P33143	L197112
R61548	P33139	L164660
R62921	P33133	L181130
R58851	P33041	L135879
R6018	P27	L4006
R26063	compareContribution	R26062
R28682	HAS_EVALUATION	L58191
R62036	P33138	L170515
R65421	P33144	L210784
R32726	P30	R11
R57700	P28	L125494
R62055	P33136	L170741
R66429	P33145	L222881
R66406	P33142	L222602
R12	P36	R104
R32392	P15510	R32388
R56045	HAS_VENUE	R56049
R31936	P31	R31937
R70145	P29009	R70036
R34191	P32	R34186
R26567	P15155	R26564
R57220	P33006	L122369
R62023	P33131	L170352
R57649	P31023	L124906
R62438	P33138	L175339
R27578	P27	L55478
R34649	P31	R34650
R25717	P15072	L48830
R58392	P33047	L131295
R28495	P15276	L57320
R49449	HAS_ORCID	L90673
R63871	P33148	L192209
R23368	P27	L45354
R70525	P27	L242296
R64290	P33144	L197233
R23479	P7115	R23480
R59245	P33046	L139824
R56529	P30002	L115936
R56207	P27	L113304
R62376	P33139	L174596
R50454	HAS_VALUE	R50455
R62810	P2005	R60165
R63076	P33139	L182996
R57050	P27030	L120792
R29676	P27	L59915
R70706	HAS_VALUE	L242987
R61092	P33132	L159181
R62565	P2005	R60165
R54541	P30	R50
R56220	P31005	L113417
R27326	P15207	L54568
R56116	P31	R56117
R57118	P30001	L121410
R54833	P15068	L107987
R63911	P33143	L192684
R60275	P33132	L149377
R59135	P33050	L138728
R56633	P27030	L116918
R67488	P33152	L235596
R26789	P31	R26790
R63242	P33134	L184983
R62871	P33130	L180527
R61129	P33129	L159622
R56688	P28	L117439
R32249	P15510	R32243
R66819	P33149	L227565
R64784	P2005	R63783
R52291	TemplateComponentOrder	L96455
R59468	P33045	L142053
R23457	P31	R23458
R63232	P2005	R60165
R5027	P4018	R5037
R8536	P27	L8603
R60851	P33133	L156290
R65537	P33145	L212177
R59522	P2005	R58159
R32896	P15528	L68095
R66633	P33149	L225333
R44507	P23121	L82921
R30797	P15384	L61955
R54982	P30004	L108753
R58571	P33047	L133085
R64742	P2005	R63783
R57728	P30004	L125788
R69131	P34046	R69132
R50393	HAS_RESULTS	R50396
R58456	P33041	L131929
R59899	P33079	L145903
R60782	P33130	L155459
R60736	P33131	L154908
R53269	P15068	L98230
R65374	P33148	L210224
R65085	P33141	L206749
R66479	P33145	L223481
R28273	P15271	L56958
R58002	compareContribution	R57958
R34131	P15072	L71515
R56619	P27030	L116783
R65093	P33141	L206845
R61406	P33129	L162946
R68241	P31	R68242
R63186	P33134	L184311
R67211	P33149	L232269
R62092	P33134	L171183
R64599	P33143	L200940
R63332	P2005	R60165
R25945	P32	R25901
R33489	P27	L69821
R29822	P32	R29367
R61840	P2005	R60165
R65532	P33148	L212120
R34678	P27	L73299
R58511	P33049	L132487
R60272	P33135	L149344
R54029	P32009	L100171
R62451	P33140	L175497
R69521	HAS_RESULTS	R50438
R58919	P33049	L136567
R60904	P33136	L156929
R65666	P33146	L213726
R67431	P33145	L234905
R61828	P33134	L168015
R54884	P31	R54919
R56301	P31	R56302
R27273	P15205	L54425
R58326	P33041	L130629
R28255	P28	L56913
R27578	P30	R11
R54703	P32119	L106699
R61520	P33139	L164324
R44693	HAS_VENUE	R1012
R67747	P32	R67745
R62279	P33134	L173427
R61257	P33131	L161160
R41118	P20022	L79187
R67386	P33147	L234367
R64845	P33143	L203871
R25240	P32	R25224
R59330	P33045	L140673
R61956	P33132	L169549
R28545	P15289	L57487
R58826	P33048	L135636
R29290	P15338	L59532
R63162	P2005	R60165
R60353	P33138	L150319
R65237	P33148	L208580
R32299	P30	R11
R68540	P27	L238634
R63772	P33130	L191339
R41133	P20022	L79269
R57675	P30002	L125205
R68795	HAS_RESULTS	R68794
R54345	P32119	L103207
R54734	P29	L107021
R54994	P27	L108864
R63991	P33142	L193643
R65287	P33152	L209184
R34794	P15696	L73690
R32042	P27	L65399
R59818	P33072	L145194
R61272	P33139	L161348
R67073	P33143	L230607
R5065	P4077	L3443
R61776	P33130	L167387
R53287	P27	L98339
R41466	compareContribution	R41022
R26126	P15132	L51656
R54154	P27	L101384
R57915	P9040	L127855
R26435	P26	L52462
R66593	P33145	L224849
R60662	P33140	L154029
R65134	P33145	L207341
R27740	METHOD	R1046
R32934	P27	L68731
R56515	P33008	L115817
R59566	P33041	L143029
R69342	P27	L239784
R66323	P33142	L221606
R51098	P29	L94144
R67119	P33147	L231163
R66180	P33151	L219899
R33783	compareContribution	R33733
R65919	P33145	L216761
R62664	P33130	L178043
R65555	P33144	L212392
R31140	P15072	L62367
R66422	P33152	L222804
R6742	P5044	R6551
R57691	P28	L125397
R58466	P33043	L132031
R354	P36	R359
R55123	P31005	L110052
R66290	P33149	L221217
R58974	P33043	L137111
R53197	P31002	L97578
R31822	P30	R11
R67434	P33145	L234941
R30967	P32	R30740
R62868	P33133	L180494
R62292	P33140	L173589
R50133	contains	R50124
R57590	P27	L124300
R62522	P33132	L176341
R36151	P29	L74623
R69503	HAS_RESULTS	R69500
R65483	P33150	L211534
R57919	P31024	L127911
R56892	P33008	L119293
R56818	P9040	L118617
R41146	P30	R128
R67582	P33149	L236721
R51447	TemplateComponentOrder	L94644
R28037	P29	L56443
R64563	P33142	L200507
R59594	P33046	L143314
R34607	P29	L72789
R33643	P29	L70070
R32516	P15512	R27696
R65775	P33147	L215035
R25784	P15086	L49217
R33056	P15590	L69361
R64462	P33149	L199302
R38592	P7113	R38593
R36121	P16027	L74477
R65661	P33142	L213662
R59782	P33067	L144757
R23273	P27	L44977
R60118	P33124	L147659
R62601	P33130	L177287
R33733	P15604	L70549
R34523	P32	R34497
R59061	P33043	L137981
R60695	P33136	L154421
R61297	P33131	L161640
R48179	P18063	R48183
R25838	P28	L49694
R64236	P33143	L196584
R63972	P33149	L193422
R70495	HAS_ORCID	L242199
R64855	P33151	L203999
R61416	P33138	L163075
R59376	P2005	R58159
R65852	P33147	L215959
R27047	P31	R27048
R64691	P33143	L202044
R6948	type	R6754
R62159	P33136	L171989
R28998	P31	R28999
R61664	P33138	L166051
R32887	P30	R11
R64023	P33146	L194031
R52290	contains	R52285
R61432	P33139	L163268
R50068	hasContent	L92136
R62300	P33139	L173684
R33032	P15586	L69195
R46083	P25006	L86104
R64508	P33143	L199848
R61498	P33134	L164055
R62294	P33138	L173611
R54258	P31024	L102386
R56423	P30004	L115081
R54341	P30001	L103173
R33080	P26	L241158
R64072	P33148	L194621
R66976	P33148	L229448
R52036	P30002	L95283
R28594	P15289	L57929
R66813	P33147	L227491
R63178	P33133	L184214
R69983	P27	R70488
R28229	P30	R11
R67238	P2005	R63783
R31011	P15389	R30862
R67537	P33146	L236178
R12243	P30	R57
R28574	P27	L57744
R44087	P27	L82050
R8330	P29	L8325
R57923	P33037	L127954
R63502	P33140	L188109
R58213	P33041	L129499
R43020	HAS_VENUE	R1012
R54640	HAS_VENUE	R1012
R44727	P5049	R25007
R29967	P29	L60124
R6592	P5043	R6549
R64458	P33152	L199257
R64041	P33141	L194242
R63304	P2005	R60165
R67108	P33149	L231033
R32478	P15514	R32454
R62760	P33130	L179195
R64546	P33147	L200308
R56866	P31023	L119059
R58587	P33045	L133243
R58366	P33042	L131030
R61907	P33138	L168967
R60059	P33102	L147279
R56145	P31024	L112774
R65920	P33144	L216772
R69461	HAS_METHOD	R51134
R54862	P30002	L108267
R60995	P33138	L158023
R62358	P33129	L174370
R67508	P33143	L235827
R41134	P31	R41135
R61531	P33139	L164456
R57031	P30002	L120612
R67679	P29	L237210
R65041	P33147	L206227
R63753	P33132	L191113
R62827	P33133	L180002
R61813	P33135	L167836
R32474	P32	R32426
R60730	P33132	L154837
R63734	P33132	L190885
R64371	P33142	L198203
R64190	P33149	L196038
R61066	P33138	L158875
R54651	P32117	L106181
R61492	P33139	L163988
R6669	P27	L5100
R62929	P33132	L181225
R66689	P33145	L226001
R62527	P33134	L176403
R57245	P29	L122623
R62586	P33130	L177107
R9201	P7157	L8941
R60742	P33132	L154981
R65571	P33145	L212585
R49115	P27	R49117
R64501	P2005	R63783
R59406	P2005	R58159
R64804	P33152	L203409
R44419	TemplateComponentOccurrenceMax	L82280
R65988	P33145	L217589
R64241	P33141	L196642
R65584	P33141	L212737
R28248	P32	R28143
R54960	P31005	L108556
R63649	P33139	L189872
R34111	P27	L71395
R59654	P33044	L143912
R64572	P33144	L200617
R67289	P33152	L233208
R60294	P33130	L149603
R64032	P33147	L194140
R60787	P33138	L155527
R61153	P33131	L159912
R57352	P31	R57353
R32475	P27	L66147
R32277	P27	L65854
R64057	P33151	L194444
R61636	P33135	L165712
R26002	P32	R25962
R61784	P33136	L167489
R27306	P32	R27280
R6521	P5032	R6484
R8593	HAS_RESULTS	R8594
R59096	P33048	L138336
R55026	P32	R54953
R31162	P15072	L62413
R63674	P33132	L190165
R66761	P33142	L226862
R26673	P15166	L52954
R67479	P33141	L235477
R57707	P32	R57587
R32408	P15506	R32190
R64893	P33152	L204456
R57960	P30001	L128368
R46299	compareContribution	R46228
R61929	P33132	L169225
R64149	P33149	L195546
R49353	HAS_VALUE	L90545
R2008	P28	R2010
R58815	P33050	L135528
R65616	P33143	L213123
R62223	P33134	L172755
R47010	P24010	R41431
R25699	P5025	L48708
R1020	P27	R8187
R66227	P33150	L220462
R26977	P28	L53697
R33907	P30	R11
R49426	P23142	R49427
R69668	P32	R69645
