P1	yields
P15230	Performance indicator (in per-capita terms if not otherwise indicated)
P15231	Aggregation level
P15232	Time perspective (CS = cross-section, L = longitudinal)
P15233	Age indicators
P15234	Age–performance patternc,d OLS / ordinary least square regression
P15235	FE / controlled for omitted variables by inclusion of fixed effects
P15236	IV / instrumental variable approach
P15237	Countries
P15238	Period
P15239	Methodology
P15240	Conclusion (s) EC-Y (from energy consumption to economic growth )
P15241	Y-EC (from ecnomic grwth to energy consumption )
P15242	Y2EC (feedback hypothesis )
P15243	YaEC neutral hypothesis between energy consumption and economic growth )
P15244	Conclusion (s) ELC-Y (electricty consumption to economic growth )
P15245	Y-ELC (from ecnomic grwth to electricty consumption )
P15246	Y2E (feedback hypothesis )
P15247	YaELC (neutral hypothesis between electricty consumption and economic growth)
P15248	No.
P15249	Country
P15250	Conclusion (s) NE-Y(nuclear energy consumption to economic growth )
P15251	Y-NE (from ecnomic grwth to nuclear energy consumption )
P15252	Y2NE (feedback hypothesis )
P15253	YaNE (neutral hypothesis between nuclear energy consumption and economic growth )
P15254	Conclusion (s) NE-Y (from nuclear energy consumption to economic growth)
P15255	Educational context
P15256	Evaluator
P15257	Result
P15258	Topic
P15259	Taxonomy stage: Step
P15260	Computational platform
P15261	Age (years)
P15262	Sex
P15263	Chief Clinical presentation
P15264	Size (mm)
P15265	Follow up (months)
P15266	Container flow
P15267	oute
P15268	Market
P15269	emarkable factor
P15270	Inventory policy
P15271	Main question
P15272	Testing profile
P15273	Measurements
P15274	Cooling
P15275	Temperature swing and Tm ax
P15276	Failures and indicators
P15277	Failure mechanism
P15278	Circuit
P15279	Age
P15280	Site
P15281	Size (cm)
P15282	Weight (g)
P15283	Symptoms and signs
P15284	Laboratory fi ndings
P15285	Surgery
P15286	RT/Neoadjuvant or adjuvant CT
P15287	Recurrence
P15288	Treatment of recurrence
P15289	Follow-up
P15295	Has resource
P15290	Number of Objectives
P15291	Algorithm(s)
P15292	Tool
P15293	Quality Indicators
P15294	Has ressource
P15298	Tools
P15299	Some of the simulation model characteristics
P15300	Performance measures
P15301	Author’s conclusions
P15302	AMHS configuration
P15303	Strategy
P15304	Objective function(s)
P15305	Application area studied
P15306	Type of question asked
P15307	esearch method & question set
P15308	Subjects
P15366	Confidentiality (Privacy) Technique
P27054	Institutioans
P27055	Publications
P15309	# convolutional layer
P15310	# fully connected layer, # features
P15311	3D model
P15312	Cascaded method
P15313	Databases
P15314	Video (v)/image (i)
P15315	Gray (g)/color (c)
P15316	Amount of data
P15317	Variations
P15318	Number of landmark points
P15319	# points
P15320	fps
P22058	start period(gg/mm/aaaa)
P22059	end period(gg/mm/aaaa)
P15321	Detection (d) or tracking (t)
P15322	Realtime (y) or not (n)
P15323	Source code (sc) or binary code (bc)
P15324	Number of points
P15325	Links
P15326	Normalized error
P15327	Coverage
P15328	Country zone
P15329	Types of literature reviews
P15330	Paper
P15331	Journals/ (papers)
P15332	Events/ (papers)
P15333	Other sources/ (papers)
P15334	Foci
P15335	Factor
P15336	Papers
P15337	Publication type Period
P15338	Papers Foci
P15339	Types of literature Publication reviews type
P15340	Context
P15341	Power of income
P15342	Type of data
P15343	Shape of EKC
P15344	EKC Turnaround point(s)
P15345	EKC Turnaround point(s) 2
P15346	Tailoring feedback
P15347	inter- human interaction
P15348	user targeting
P15349	adaptation
P15350	goal setting
P15351	context awareness
P15352	self learning
P15353	Building
P15354	Building Methodology
P15355	Key findings
P15356	Sr. No
P15357	Techniques
P15358	Developer
P15359	Advantage
P15360	Disadvantage
P15361	Authenticity Technique
P15362	Sybil Attacks
P15363	Node Imper’
P15364	Sending False Info’
P15365	ID Disc’
P15367	Non-repudiation Technique
P15368	Availability Technique
P15369	Integrity Technique
P15370	Challenges
P15371	#Test
P15372	Accuracy (%) deyeo0:
P15373	deyeo0:
P15374	Time (s)
P15375	n
P15376	Aim of the study
P15377	Study population
P15378	eferred index
P15379	efered index
P15380	Disaster phase Pre-disaster
P15381	Post-disaster
P15382	Application case Earthquake
P15383	Hurricane
P15384	Flood
P15385	Objectives First-stage
P15386	Second-stage
P15387	Decisions First-stage
P15388	Second-stage2
P15389	Uncertainty on the first-stage
P15390	Special features
P15391	Problematic assumptions
P15392	Uncertainty in the first-stage
P15393	Features
P15394	Problematic assumption
P15395	Solution method
P15396	Solution Exact
P15397	Non-exact
P15398	Problem-tailored heuristic
P15399	Metaheuristic
P15400	Matheuristic
P15401	Motivation
P15402	Spatial structure/population heterogeneity
P15403	Population structure
P15404	Population size
P15405	Recombination Within island
P15406	Migration
P15407	Aging
P15408	Self-adaptation
P15409	Important implementation parameters / factors
P15410	Other facts
P15411	Definition
P15412	Middle-income range: thresholds
P15413	Database
P15414	Time period
P15415	Number of MIT countries
P15416	egions most affected by the MIT
P15417	Method/Technique(s)/ Database
P15418	Result/ Accuracy
P15419	Conclusion
P15420	Future scope
P15421	Types
P15422	Objective/estimate(s) process systems
P15423	Systems applied
P15424	Positive highlights
P15425	Ranker
P15426	Computational complexity
P15427	Density
P15428	Diversity
P15429	Close to boundary
P15430	Far from boundary
P15431	Probabilistic/ uncertainty of ranker
P15432	Myopic
P15433	Quality attribute
P15434	Abs. Factory
P15435	Builder
P15436	Factory Method
P15437	Prototype
P15438	Singleton
P15439	Adapter
P15440	Bridge
P15441	Composite
P15442	Decorator
P15443	Facade
P15444	Flyweight
P15445	Proxy
P15446	Chain of Resp.
P15447	Command
P15448	Interpreter
P15449	Iterator
P15450	Mediator
P15451	Memento
P15452	Observer
P15453	State
P15454	Template
P15455	Visitor
P15456	Samples
P15457	No. of samples
P15458	C. jejuni (%)
P15459	C. coli (%)
P15460	Others (%)
P15461	Sp
P15462	Comparison
P15463	HPLC global
P15464	CHG
P15465	CG
P15466	Global
P15467	Others
P15468	Gasifiers
P15469	Cost
P15470	Reported capacity(MWth)
P15471	Year data
P15472	Cost V2012 (400 MWth)
P15473	Scale factor
P15474	Reported cost
P15475	Reported capacity (bbl/d)
P15476	Reported capacity (MWth fuel)
P15477	Cost V2012 (150 MW unit)
P15478	Plant type
P15479	ISBL cost (MV)
P15480	Total capital investment (MV)
P15481	Published cost (V/GJ LHV)
P15482	Updated cost (V 2012/ GJ LHV)
P15483	Capacity (MWth)
P15484	Plant cost (MV)
P15485	Plant cost (MV 2012)
P15486	Plant cost (400 MW MV 2012)
P15487	Diesel (V/l
P15488	Diesel 400 MW (V2012/l)
P15489	Plant cost (M$)
P15490	Plant cost (M$ 2012)
P15491	Plant cost (1000 t/h MV 2012)
P15492	BEOP ($/barrel)
P15493	BEOP (V2012/barrel averaged coal price)
P15494	Diesel (V2012/l)
P15495	Supervised / unsupervised
P15496	Dependency on the underlying models
P15497	Assumption of data availability
P15498	Computational cost
P15499	Criterion A
P15500	Resources and their constraints
P15501	job complexity and routing flexibility
P15502	Sequencing
P15503	Mono/multi
P15504	Pure/hybrid
P15505	Country / Plant part CS
P15506	Collection site
P15507	Plant material status
P15508	Isolation Procedure
P15509	Oil yield
P15510	Main components (P5%)
P15511	Measurement type
P15512	Country of study
P15513	Data and sample size
P15514	Population under analysis
P15515	Data collec- tion
P15516	Over-educa- tion incidence (percentages)
P15517	Satellite sensor
P15518	Band
P15519	Image resolution [m] PAN MS
P15520	Min. size [m]
P15521	Methods of vessel candidate detection
P15522	Methods of discrimination/ classification
P15523	Eval. of results
P15524	Main purpose
P15525	No
P15526	political incentives (POLIN) - political competition
P15527	political incentives (POLIN) voter participation
P15528	political incentives (POLIN) - legislative power
P15529	political incentives (POLIN) - interest group competition
P15530	political incentives (POLIN) - government size
P15531	social incentives (SOCIN) - public media
P15532	social incentives (SOCIN) - interparty competition
P15533	social incentives (SOCIN) - activity
P15534	social incentives (SOCIN) - voter wealth
P15535	social incentives (SOCIN) - regional culture
P15536	social incentives (SOCIN) - internet access
P15537	social incentives (SOCIN) - voter demographic
P15538	financial incentives (FININ) - reliance on debt
P15539	financial incentives (FININ) - government wealth
P15540	financial incentives (FININ) - reliance on federal
P15541	institutional incentives (INSIN) - professionalism
P15542	institutional incentives (INSIN) - population size
P15543	institutional incentives (INSIN) - staff demographic
P15544	institutional incentives (INSIN) - government type
P15545	institutional incentives (INSIN) - staff selection
P15546	institutional incentives (INSIN) - IT sophistication
P15547	governance incentives (GOVIN) - governance power
P15548	governance incentives (GOVIN) - accounting quality
P15549	governance incentives (GOVIN) - system endorsement
P15550	governance incentives (GOVIN) - audit quality
P15551	governance incentives (GOVIN) - code of ethics
P15552	governance incentives (GOVIN) - disclosure regulation
P15553	Variables
P15554	Gender (men/women)
P15555	Mean age (years)
P15556	Pathology/diagnosis
P15557	Corticosteroit treatment - Corticosteroid (n)
P15558	Corticosteroit treatment - Noncorticosteroid (n)
P15559	Anastomotic leakage (AL) - Total AL (n)
P15560	Anastomotic leakage (AL) - corticosteroid (n)
P15561	Anastomotic leakage (AL) - noncorticosteroid (n)
P15562	Statistical analysis OR
P15563	95% CI
P15564	Type of anastomosis - Ileoileal
P15565	Type of anastomosis -Ileocolic
P15566	Type of anastomosis - Ileorectal
P15567	Type of anastomosis - Colorectal
P15568	Type of anastomosis - Colocolic
P15569	Type of anastomosis - Ileal pouch
P15570	Type of anastomosis - anal (IPAA)
P15571	Type of anastomosis -Handsewn
P15572	Type of anastomosis - Stapled
P15573	Surgery - Elective
P15574	Surgery - Emergency
P15575	Surgery - Right-sided colectomy
P15576	Surgery - Left-sided colectomy
P15577	Surgery - Anterior resection
P15578	Surgery - Colectomy
P15579	Surgery - Segmental
P15580	Product
P15581	Compound
P15582	Indication
P15583	Conc. (%)
P15584	Disease
P15585	Number of patients studied
P15586	N (%) with abnormal karyotype
P15587	N (% abnormal) with abnormal chromosome
P15588	N (% abnormal) with abnormal chromosome 1
P15589	N (%) with 2 isolated abnormalities
P15590	Type of abnormalities
P15591	SCM field
P15592	Critical success factors
P15593	Chronologic age in months
P15594	Duration of the study in years
P15595	Cognitive tests Findings
P15596	Number of examinees
P15597	Chronologic age in months at the beginning of the study
P15598	Cognitive tests
P15599	Findings
P15600	The number of examinees
P15601	ADALINE/ Widrow- Hoff
P15602	Backpropagation
P15603	Perceptron
P15604	Radial Basis Function
P15605	Hopfield
P15606	Platform
P15607	Vendor
P15608	Comment
P15609	Fields
P15610	Artifacts
P15611	Invisibility
P15612	PayloadCapacity
P15613	Robustness againststatistical attacks
P15614	Tolerance to RSSteganalysis
P15615	Robustness againstimagemanipulation
P15616	LSBreplacementstyleasymmetry
P15617	Utilization of edgeareas
P15618	Species Order
P15619	Seawater
P15620	Analytical method
P15621	Freshwater
P15622	Brackish water
P15623	Follow-up time/ total observation time after MON n M/F
P15624	Patients
P15625	MS development
P15626	% who develop MS from MON (%)
P15627	Diagnostic criteria for MS (CDMS)
P15628	Method to detect OCBs
P15629	Odds ratio (95% CI)
P15630	Sensitivity (95% CI)
P15631	Specificity (95% CI)
P15632	[7]Region
P15633	Farmers
P15634	Total Social Welfare (million US dollar per year)
P15635	Social Welfare per adopted hectare (US dollars per hectare) []
P15636	Million adopted hectares (yearly averages) [adoption rate%]
P15637	Technology sellers
P15638	Consumer Welfare
P15639	Feasibility
P15640	Justification/ recommendation
P15641	inflammatory bowel disease
P15642	Intestinal operation
P15643	Recent in- hospital treatment/ operation
P15644	Recent antibiotic therapy
P15645	intermediate care unit/ Sepsis
P15646	Surgical procedure
P15647	Endoscopy
P15648	Treatment
P15649	Deceased
P15650	Max. reduction
P15651	Speed of no reduction
P15652	Distance to microphone, m
P15653	Method/ Technique(s)/(Database)
P15654	Result/Accuracy
P15655	Future work
P15656	Activity
P15657	Functional Data specification
P15658	Variables (1)
P15659	Economies of Scale
P15660	Other Measurements
P15661	Functional specification
P15662	Scale economies evaluated  in the approximation point
P15663	Disclosures
P15664	Anonymistion approaches
P15665	Background information
P15666	Anonymistion algorithm/method
P15667	Definition of completeness
P15668	Measure of completeness
P15669	Data extraction tools
P15670	Reminder systems
P15671	Data repositories
P15672	For a single source only once
P15673	With a gold standard
P15674	Comparison between different tools, information systems or data task
P15675	Comparison among healthcare institutions
P15676	Before and after data quality intervention
P15677	During time intervals
P15678	Determinants
P15679	Name of Scheme
P15680	Parameters
P15681	Enviroment
P15682	Tools used for simulation
P15683	Tool Findings
P15684	First author
P15685	Type of test
P15686	Prevalence, %
P15687	Sample size (n)
P15688	Screening
P15689	Calculation of sample size
P15690	Species (developmental mode)
P15691	Body mass (g)
P15692	Egg mass (g)
P15693	Embryo assessment , presence only only
P15694	Embryo assessment, developmental stage stage
P15695	Incubation state/egg characteristic
P15696	Difference (% decrease) in shell thickness (egg region) in shell thickness (egg region)
P15697	test collection
P29011	Measure of species similarity
P15698	has location
P24002	Scalability
P30022	Time duration
P15700	has end
P18092	paper:published_in
P18093	study_date
P18094	reported_cases
P27051	Patents
P27052	Persons
P15701	upper limit
P15702	lower limit
P15699	has beginning
P18086	Cohesive energy density
P19000	Lower confidence limit
P27031	Estimated value
InstanceOfTemplate	Instance Of Template
RelatedResource	Related Resource
P27043	RDF dump
P16000	has annotated data
P16001	type 1
P16002	Type2
P16003	Type1
P16004	Type1
P28001	problem statement
P16005	Relation1
P16006	Relation2
P16007	Usage
P16008	Feature-Of
P16009	Conjunction
P16010	Part-Of
P29009	has mode of action
P16011	Hyponym-Of
P16012	Compare
P16013	Overall
P16014	Method automation
P16015	Supports reference extraction
P16016	Knowledge graph creation
P16017	Input format
P16018	Output format
P16019	User interface
P16020	Summary
P23031	has software
P23032	has amino acid change
P18078	For task
P16021	has URI
P16022	R0 estimates (average)
P16023	mean time interval between onset and hospital quarantine
P16024	mean incubation period
P16025	mean serial interval
P16026	study period name
P16030	common symptoms
P27058	Radiant energy
P16027	data collection tool
P16028	measurement condition 1
P16029	measurement condition 2
P29025	has roles
P20052	has sequencing method
P16031	mean of serial interval
P16032	standard deviation of serial interval
P16033	code
P16034	incubation SD
P16035	incubation period mean
P16036	scenario
P16037	dataset description
P17000	R0 estimated duration
P17001	data source
P17002	scenario 1
P17003	scenario 2
P17004	Rc estimates (average)
P17005	dataset alias name
P17006	dataset revision
P17007	method description
P20155	Related Figure
order	order
P23007	Examples
P23009	Supports
P23010	nari
P23011	tudy dat
P23012	Total (Symptomatic cases-67% of all infected cases)
P23013	Proportion of population (Symptomatic cases-67% of all infected cases)
P23014	Peak week for incidence (Symptomatic cases-67% of all infected cases)
P23015	Peak month for incidence (Symptomatic cases-67% of all infected cases)
P23016	Number of sick people on the worst day of the simulated year (Symptomatic cases-67% of all infected cases)
P23107	Infectious agent population
P23108	Basic reproducion number
P23109	Study design
P23110	Blinding of outcome assessment
P23111	Randomization
P23112	allocation concealment
P23113	Incomplete outcome   data
P23114	Selective reporting
P23115	other sources of bias
P23116	Disease definitions (characterization)
P23117	Study groups
P18003	hasInteractionwithMasterData
P18004	hasStakeholders
P18000	hasMasterDataRepresentation
P18001	hasMappingtoSource
P18002	hasDocumentation
P27060	ID
P18005	hasRepresentationMasterData
P24006	Data Size Support
P18006	Method
P18007	Data
P18008	Has demo
P18009	has learning rate
P18010	has dropout
P18011	has hyperparameters
P18012	has activation function
P18013	has training epochs
P18014	has early stopping
P18015	has optimization
P18017	has comparisons
P18018	outperforms
P18016	has scaling parameter
P18019	Test
P18020	has test
P27039	Material
P27040	Data
P27041	Method
P27042	Process
P18088	has can communicate with
P18089	has Autonomy
P18090	Has way action performed on environment
P18030	construct
P18031	assign
P18032	update parameters
P23006	has countries
P24010	Uses metric
P24014	requirements
P18021	Training data
P18022	has
P18023	consists of
P18024	handles
P18025	represent
P18026	employ
P18027	Detects
P18028	treat
P18029	perform
P18033	Try
P18035	on task
P18036	On evaluation dataset
P18037	F1
P18034	evaluation 1
P18038	has Task
P18039	use
P18040	represented by
P18041	contains
P18042	adopt
P18043	inputs of decoding layer
P18044	Has word embedding
P18045	Has lstm units in encoding layer
P18046	has lstm units in decoding layer
P18047	Has bias parameter alpha
P18048	Accuracy
P18049	Bleu Score
P23067	mixture of
P23068	to
P23069	takes into account
P23070	optimize
P23071	higher NER and RC scores
P23072	than
P23073	higher EC and RC scores
P23074	on
P23075	provide
P23076	train
P23077	find
P23078	slightly better
P20051	has sequencing type
P18050	PubChem AID
P18051	Protein Target
P18052	status
P18053	Modiy Date
P18054	Deposit Date
P18055	has
P18056	has confirmatory assay
P18057	has assay format
P18058	Has participant
P18059	has role
P18060	is bioassay type of
P18061	has assay method
P18062	has detection method
P18063	has assay title
P18064	has temperature value
P18065	has incubation time value
P18066	has assay phase characteristic
P18067	has measured entity
P18068	has endpoint
P18069	has concentration unit
P18070	Has detection instrument
P32120	Data calculated with model
P32121	Global and annual mean surface air temperature
P27044	Pulse duration
P27045	Energy
P25068	Reviews method
P18071	Has
P30000	paper:puplication_year
P30001	hypothesis
P30002	stand of hypothesis
P30003	number of plant species
P18072	status
P18073	Test group size
P20190	according to external source (not stated in paper)
P20191	hasGenBank accession number
P20192	has nucleotide substitution
P20193	compared to
P20194	has NCBI Reference Sequence accession number
P23139	Type
P18074	Inter-code agreement
P18076	annotated abstracts
P18077	Domains
P18075	inter-coder agreement
P18079	Material
P18080	Data
P23051	tune
P23052	Size of Word Embeddings
P23053	Number of Heads
P23151	patient characteristics
P18081	Material
P18083	Q
P18084	C
P18082	Chemical formula
P30017	Role
P30018	Particle size range
Image	Image
P23169	N
P23170	Clients
P23171	Setting
P23172	Intervention (protocol)
P23173	Design
P23174	Primary outcomes
P23175	Qualitative findings
P27050	Journals
P27053	Conferences
P27047	API support
P20053	R0_estimates_(average)
P20054	Estimated infectious period
P20055	Estimated mean latent
P20056	Estimated removed rate
P20057	Initial ratio of isolating susceptible individuals
P18085	Swelling coefficient
P25069	Authors recommend
P23029	cleaning algorithm
P18087	Uses dataset
P27059	Radiant exposure
P26002	Global Mean Sea level Rise Projection
P26003	has likely range
P18095	estimated_cases
P27056	Topics
P18096	has categories
P18097	Has organization
P32117	Measure of disturbance
P32118	Type of disturbance
P26009	climate scenario
P27035	Type of Laser
P27036	Wavelength (λex)
P27000	has part
P27001	has part
P18098	necessity
P27057	Energy Device
P18100	text data format
P18101	data resources
P23001	has numerical value
P31001	paper:Study date
P31002	Measure of species relationship
P31003	Non-plant species
P31004	Number of non-plant species
P31005	Habitat
P31006	WOS search or Cited references
P18099	processing level
P18102	subtasks
P24000	Platform type
P23079	with
P23080	to make
P23081	to remove
P23082	compare with
P23083	competitive sequence model
P23084	on
P23085	by
P23086	further outperforms
P23087	improves upon other dependency-based models
P23088	comparing C-GCN model with the GCN model
P23089	compared to the PA-LSTM
P23090	with-entity evaluation
P23091	incorporating off-path information
P23092	mask-entity evaluation
P23093	effect
P23094	when
P23095	when K = 1
P23096	outperforming
P23097	confirms our hypothesis
P18103	level
P18104	strength
P18105	subjectivity
P20105	develop
P20106	transforms
P20107	has basic components
P20108	are
P20109	composed of
P20110	consists of three types of layers
P20111	transform
P20112	train
P20113	integrate
P20114	has two tasks
P20115	introduces
P20116	surpasses
P20117	obtains
P20118	consider
P20119	on
P20120	for
TemplateComponentValidationRule	Template Component Validation Rule
TemplateLabelFormat	Template Label Format
TemplateStrict	TemplateStrict
TemplateComponentOrder	TemplateComponentOrder
TemplateComponentOccurrenceMin	TemplateComponentOccurrenceMin
TemplateComponentOccurrenceMax	TemplateComponentOccurrenceMax
P23104	Number
P22060	software for consensus sequence generation
P25000	Face features
P19001	Upper confidence limit
P19002	has study
P27002	Libraries
P30027	hasMetaVisualizationDefinition
P20000	Case fatality ratio (CFR)
P20001	Cumulative Incidence (CI)
P20002	Infection fatality ratio (IFR)
P20003	average estimated ratio between the actual number of individuals that have been infected and observed cases
P20004	data1 description
P20005	data1 source
P20006	data2 description
P20007	data2 source
P20008	data3 description
P20009	data3 source
P20010	study dates
P20013	Intrinsic growth rate
P20014	Scaling of growth parameter
P20011	Ascertainment Rate (q)
P20012	Number of confirmed cases
P20015	Number of deaths
P20016	Percentage of total cases
P27046	Research Infrastructure
P27048	Books
P27049	Chapters
compareContribution	compare contribution
hasProperty	has property
hasPreviousVersion	has previous version
hasSubject	has subject
hasContent	has content
P23105	Located in
P23106	Exists at
P20017	Scaling Types
P20018	Research Questions
P23103	Reviews
P20019	Si precursor
P20020	contacting electrode
P20021	counter electrode
P20022	(pseudo)reference electrode
P20023	temperature
P20024	process specification
P20025	total estimated cases
P20026	total confirmed cases
P20027	susceptible
P20028	infected
P20029	removed
P20030	achieves
P20031	on
P20032	learn
P20033	recognizes
P20034	framework
P20035	identify
P20036	apply
P20037	implement
P20038	consists of two modules
P20039	recognize
P20040	identifies
P20041	evaluate
P20042	evaluate on
P20043	use
P20044	with
P20045	is
P20046	used
P20047	conduct
P20048	on
P20049	explore
P20050	analyze
P20058	reagent
P20059	has kit
P20060	has study design
P20061	Symptomatic persons (with visits at high risk areas) or contacts of infected persons
P20062	number of persons tested
P20063	persons with viral genome sequencing
P20064	open invitation
P20065	random sample
P20066	number of persons with viral genome sequenced
P20067	Virus names in GISAID
P20068	EPI accession numbers
P20069	number of sequence variants
P20070	GISAID URL
P20085	Three sentence-pair similarity tasks
P20086	Four natural language inference tasks
P20087	reimplemented
P20088	include
P20089	take
P20090	retain beta hyperparameters
P20091	has decoupled weight decay
P20092	keep
P20093	deviate from the optimization
P20094	uses a batch size
P20095	done on
P20096	took
P20097	Fine-tuning is implemented based on
P20098	has description
P20099	Per-Task Results
P20100	exceeds
P20101	improves considerably
P20102	substantially improves
P20103	yields smaller improvements
P20104	gains
P27037	Material
P27038	Data
P20153	Use
P20121	learning mappings
P20122	to learn a function
P20123	investigate
P20124	show
P20125	present
P20126	experiment with
P20127	added
P20128	Augment
P20129	Maxpooling
P20130	concatenate
P20131	concatenation
P20132	perform
P20133	Transformer Architecture
P20134	Weight Initialization
P20135	Post Transformer Layer
P20136	Training Epochs
P20137	Learning Rate (supervised)
P20138	Batch Size (supervised)
P20139	Learning Rate (few shot)
P20140	Batch Size (few shot)
P20141	adding positional information in the input
P20142	Aim
P20143	determine
P20144	Use
P20145	Learning rate
P20146	Batch size
P20147	Number of steps
P20148	Relation representation
P20149	increase
P20150	very significant
P20151	Report
P20152	initializing
P20154	deleted
RelatedFigure	Related Figure
P20156	is
P20157	Max sentence length
P20158	Adam learning rate
P20159	Number of epochs
P20160	Dropout rate
P20161	compare our method, R-BERT, against
P20162	beats
P20163	MACRO F1 value
P20164	create
P20165	discard
P20166	observe
P20167	perform
P20168	demonstrates
P20169	is
P20170	repeatedly encodes
P20171	consisting of
P20172	via
P20173	to learn
P20174	Reuse
P20175	trained-on
P20176	after pre-training
P20177	use
P20178	rate
P20179	encodes
P20180	tokenize input text
P20181	creates
P20182	iteratively merges
P20183	requires
P20184	add
P20185	bias
P20186	on
P20187	TACRED dataset
P20188	SemEval 2010 Task 8 dataset
P20189	establishing
P34115	Computational intelligence technologie
P27011	Has dependent variable
P27012	Has independent variable
P21000	has company
P21001	has SARS-CoV-2 reference genome
P21002	differs to the NC_045512 reference genome
P22000	pant presence or action
P22001	type of data for model development
P22002	ntry
P22003	limate zone (köppen-geiger)
P22004	intended
P22005	type of building
P22006	n of months
P22007	predictors/devices
P22008	rule-based models: schedule/profile
P22009	rule-based models: other
P22010	stochastic opa models: general/generalized linear model
P22011	stochastic opa models: generalized linear mixed models
P22012	stochastic opa models: linear mixed models
P22013	stochastic opa models: linear time series model
P22014	stochastic opa models: markov chain model
P22015	stochastic opa models: agent-based model
P22016	stochastic opa models: survival analysis
P22017	stochastic opa models: probit analysis
P22018	stochastic opa models: gaussian process
P22019	stochastic opa models: bayesian network model
P22020	stochastic opa models: decision tree model
P22021	stochastic opa models: logit analysis
P22022	stochastic opa models: hierarchical clustering model
P22023	stochastic opa models: levy process
P22024	stochastic opa models: monte carlo method
P22025	stochastic opa models: poisson process
P22026	stochastic opa models: bernoulli process
P22027	stochastic opa models: hybrid model
P22028	stochastic opa models: entropic-probabilistic approach
P22029	stochastic opa models: other
P22030	data-driven models: agglomerative hierarchical clustering
P22031	data-driven models: random forest
P22032	data-driven models: support vector regression
P22033	data-driven models: support vector machine
P22034	data-driven models: gradient boosting
P22035	data-driven models: regularized logistic regression
P22036	data-driven models: linear regression
P22037	data-driven models: decision tree
P22038	data-driven models: apriori
P22039	data-driven models: density estimation
P22040	data-driven models: k-means or k-medians
P22041	data-driven models: bootstrap aggregation
P22042	data-driven models: neural networks
P22043	data-driven models: multilayer perceptron
P22044	data-driven models: naive bayes
P22045	data-driven models: nearest neighbour
P22046	data-driven models: gaussian mixture
P22047	data-driven models: hidden markov model
P22048	data-driven models: arma, arima, etc..
P22049	data-driven models: multi-layer perceptron
P22050	data-driven models: genetic algorithm
P22051	data-driven models: fuzzy logic
P22052	data-driven models: pedestrian dead reckoning
P22053	data-driven models: bayesian network model
P22054	optimization based on the defined objective function
P22055	data-driven models: other
P22056	ity
P22057	dimension of the sample (n. of rooms, buildings etc.)
P34110	Has upper limit for 95% confidence interval
P33030	HAS_RESULTS
P25023	Material
P25024	Data
P23000	have nucleotide differences
P23002	has qualifier
P23003	participants (of which viral agents were sequenced)
P23005	has international travel
P23004	has compnay
P23008	Used to
P23017	Proportion of population sick on the worst day (Symptomatic cases-67% of all infected cases)
P23018	Total (Consultations-40% of symptomatic cases seek consultations, possibly mainly telephone/internet)
P23019	Proportion of population (Consultations-40% of symptomatic cases seek consultations, possibly mainly telephone/internet)
P23020	Total (Severe cases likely to require hospitalisation-1.0% of symptomatic cases)
P23021	Proportion of population (Severe cases likely to require hospitalisation-1.0% of symptomatic cases)
P23022	Number of people in hospital on the worst day-if capacity existed (Severe cases likely to require hospitalisation-1.0% of symptomatic cases)
P23023	Proportion of population in hospital on the worst day (Severe cases likely to require hospitalisation-1.0% of symptomatic cases)
P23024	Total (Cases likely to require ICU-25% of hospitalised cases)
P23025	People in ICU on the peak day-if capacities exist (Cases likely to require ICU-25% of hospitalised cases)
P23026	Total (Cases likely to require ventilation in ICU-50% of those in ICU)
P23027	Total Deaths
P23028	Proportion of population (Deaths)
P30004	type of experiment
P25046	( > 2 % )
P25047	slightly outperforms
P25034	significantly outperforms
P25035	including
P25036	in
P25037	to jointly model
P25038	that only use
P25039	indicates
P25040	matches
P25041	that use
P23030	Biography
P23033	pre-training and fine-tuning
P23034	initialize
P23035	pre-trained
P23036	on
P23037	with
P23038	for
P23039	used
P23040	pre-trained for
P23041	pre-trained on
P23042	to
P23043	outperformed
P23044	in terms of
P23045	RE results
P23046	QA results
P23047	obtained
P23048	significantly outperformed
P23049	of
P23050	achieved
P23054	Size of Hidden Layer
P23055	Size of Position Embeddings
P23056	Size of Attention Layer
P23057	Number of Latent Entity Types
P23058	Size of Mini-Batch
P23059	Initial Learning Rate
P23060	for
P23061	L2 Regularization Coefficient
P23062	from
P23063	F1-score
P23064	except
P23066	with
P23065	incorporate
P25009	Niobate
P25010	Co-Catalyst
P25011	Light Source
P25012	Sacrificial Reagent
P25013	H2 Formation Rate
P23098	indicating
P23099	contextualizing
P23100	makes it
P23101	from
P23102	removing
P32123	Has TCR result
P26005	has lower limit for likely range
P26006	has upper limit for likely range
P26016	Atmosphere Model Basic Approximations
P26018	has atmosphere model name
P26019	has results in atmosphere
P26020	Atmosphere model family
P26021	Has sea ice model name
P26022	Has results for sea ice
P26023	Has land surface model name
P26024	Has prognostic land surface model variable
P26025	has land surface model documentation
P26026	Has aerosol model documentation
P26027	Has aerosol model scheme
P26028	Has prognostic sea ice model variable
P26029	Has atmosphere model documentation
P26030	Has horizontal atmosphere model resolution
P26031	Has results in the ocean
P26032	Has prognostic atmosphere model variable
P26017	Dynamical core of atmosphere model
P26036	Has ocean model version
P26037	Has sea ice model documentation
P26038	Has sea ice model version
P26039	Has horizontal atmosphere model descretisation
P26040	Land surface model basic approximations
P26041	Ocean model basic approximations
